time_au,cl_z,cl_vz
3.92,-4.925668604181782,2.66761936262733
3.94,-4.872320394870018,2.66719977467302
3.96,-4.818980613194861,2.66677725429658
3.98,-4.765649304698155,2.66635422809249
4.0,-4.712326444071162,2.66593002085474
4.02,-4.659012103863965,2.665505113814291
4.04,-4.60570623951859,2.66508033013758
4.06,-4.552408890658462,2.664654706425501
4.08,-4.499120051261571,2.664228017480207
4.1,-4.445839769959254,2.663799636457802
4.12,-4.392568065803259,2.663369611575286
4.14,-4.339304985496243,2.662938271126449
4.16,-4.286050534958201,2.662504979327619
4.18,-4.232804786323138,2.662070005144034
4.2,-4.179567734752439,2.661634922091362
4.22,-4.126339389439483,2.661198815952173
4.24,-4.073119782114352,2.660761259864353
4.26,-4.019908939044909,2.660323689305999
4.28,-3.966706834542113,2.659885202231637
4.3,-3.913513530955644,2.659444672609189
4.32,-3.860329047637745,2.659002461469474
4.34,-3.807153432496865,2.658558230560451
4.36,-3.753986718415327,2.658111784663595
4.38,-3.700828961110322,2.65766245532775
4.4,-3.647680220202217,2.657212549032179
4.42,-3.594540459149034,2.656763359905316
4.44,-3.541409685806004,2.656313225611449
4.46,-3.488287930124576,2.655861475870568
4.48,-3.435175226771181,2.655407264024984
4.5,-3.382071639563577,2.654950655254973
4.52,-3.328977200560983,2.65449210764683
4.54,-3.275891955257703,2.65403119285204
4.56,-3.222815952846901,2.65356895280052
4.58,-3.169749197145682,2.653105935449373
4.600000000000001,-3.116691715428926,2.65264122075137
4.62,-3.063643548315627,2.652175433572039
4.64,-3.010604698086044,2.65170890074367
4.66,-2.95757519228588,2.651240367044502
4.68,-2.904555083404264,2.650771470056951
4.7,-2.851544333483602,2.65030115385381
4.72,-2.798543037250111,2.64982661841283
4.74,-2.745551268747089,2.649349919369743
4.76,-2.692569040475322,2.648872659805141
4.78,-2.639596362354883,2.648393704930679
4.8,-2.586633292278095,2.647913977449243
4.82,-2.533679803256914,2.647434077439838
4.84,-2.480735929180501,2.646952824908901
4.86,-2.427801690260558,2.646469038688891
4.88,-2.374877167632946,2.645982937091752
4.9,-2.321962372776888,2.645494630414833
4.92,-2.269057382416352,2.645003583132748
4.94,-2.216162229451578,2.644510774938452
4.96,-2.163276951418815,2.644017143543774
4.98,-2.110401543709827,2.64352263154391
5.0,-2.057536046157058,2.643027389709672
5.02,-2.00468044812144,2.64253208369901
5.04,-1.951834762809098,2.642034740752391
5.06,-1.898999058491345,2.641536201103644
5.08,-1.846173314764952,2.641037034854842
5.100000000000001,-1.793357577097151,2.640534069710245
5.12,-1.740551951976542,2.640029263621092
5.14,-1.687756406552307,2.639524167536413
5.16,-1.634970985275086,2.639017535451771
5.18,-1.582195705134237,2.638509908679702
5.2,-1.529430588927897,2.6380009912553
5.22,-1.476675665484025,2.637491538934786
5.24,-1.423930927370506,2.636981087465762
5.26,-1.371196421985394,2.636468920220957
5.28,-1.318472170561668,2.635954149420102
5.3,-1.26575825600859,2.635437080813428
5.32,-1.21305468732913,2.634918800020341
5.34,-1.160361504007776,2.634399231117566
5.36,-1.107678718084428,2.633878557779457
5.38,-1.055006361696598,2.633357291078785
5.4,-1.002344426441276,2.632835989240025
5.42,-0.9496929221269969,2.632312694993229
5.44,-0.8970519186415472,2.631788171191841
5.46,-0.8444213952793231,2.631263604385645
5.48,-0.7918013744661214,2.630736328753185
5.5,-0.7391919421291958,2.630207373293301
5.52,-0.6865930795343894,2.629677663460108
5.54,-0.6340048355907915,2.629146154707787
5.56,-0.5814272333460779,2.628613392775183
5.58,-0.5288602998797842,2.62807936511927
5.600000000000001,-0.4763040587413072,2.627544886548814
5.62,-0.4237585044178316,2.627010070770077
5.64,-0.3712236559105041,2.626474094313858
5.66,-0.3186995406452774,2.625936644442084
5.68,-0.2661861901328207,2.625397249516093
5.7,-0.2136836506646337,2.624856270061033
5.72,-0.1611919393303794,2.624314634869636
5.74,-0.1087110652698482,2.623771402667912
5.76,-0.0562410832236629,2.623226938349441
5.78,-0.0037819877358705,2.622681943778141
5.8,0.0486661945274627,2.622135069676881
5.82,0.1011034150512047,2.621587376882048
5.84,0.1535296896027447,2.621040282458404
5.86,0.2059450263495408,2.620491443012839
5.88,0.2583493473232583,2.61994015658918
5.9,0.310742632613108,2.619387960311768
5.92,0.363124865735729,2.618834181126294
5.94,0.4154959998581598,2.618279588928571
5.96,0.4678560492928718,2.617724211136542
5.98,0.5202049683036215,2.617166957634544
